name,location,nearest highway,dist to highway,prev point,next point,dist to prev point,dist to next point,elevation,gradient
62zdzm,"59.298604, 15.207224","59.29332, 15.198374",1.4,r3_p42,r3_p43,7.3 ,2.6 ,28.48332405090332,
6352mj,"57.78328, 14.233975","57.7847, 14.23397",0.3,r1_p18,r1_p19,5.6 ,2.3 ,114.3885726928711,
635xyy,"57.929497, 12.56303","57.930159, 12.559605",0.2,r3_p9,r3_p10,0.8 ,32 m,66.05521392822266,
63m6rq,"58.405692, 15.56034","58.43335, 15.52325",4.4,r1_p24,r1_p25,2.4 ,36.7 ,72.93893432617188,
68knx,"58.581737, 16.144091","58.5784, 16.10696",2.4,r1_p25,r1_p26,4.0 ,12.5 ,36.32373046875,
68kxj,"59.426384, 15.827981","59.423927, 15.819223",0.9,r3_p43,r3_p44,37.5 ,17.0 ,15.16808414459229,
6k2qdk,"59.518607, 15.968695","59.520448, 15.968493",0.7,r3_p43,r3_p44,53.3 ,1.6 ,8.155303955078125,
6qq8e,"58.3724, 15.2941","58.36835, 15.29032",1.0,r1_p23,r1_p24,14.9 ,13.3 ,86.06193542480469,
6qwm3,"58.32299, 15.08892","58.32502, 15.089637",0.8,r1_p23,r1_p24,2.1 ,26.1 ,132.9684906005859,
6yp57,"59.653676, 17.083674","59.654025, 17.073535",0.8,r3_p51,r3_p52,1.6 ,5.1 ,28.03754806518555,
7e9736,"59.470548, 17.9142","59.466837, 17.91164",0.7,r1_p42,r1_p43,2.8 ,0.9 ,22.88305854797363,
7epwm5,"57.73299, 12.93892","57.717247, 12.931939",2.3,r1_p5,r1_p6,0.4 ,3.3 ,137.2392730712891,
7n3zmw,"58.4318, 15.6618","58.43239, 15.66351",2.5,r1_p24,r1_p25,10.7 ,29.9 ,37.12103652954102,
7pgrg,"58.918156, 17.367987","58.903311, 17.311496",4.3,r1_p29,r1_p30,22.4 ,30.0 ,51.10827255249023,
7w69ny,"57.729703, 12.938225","57.717247, 12.931939",2.3,r1_p5,r1_p6,0.4 ,3.3 ,136.0263214111328,
7w6dwk,"58.56871, 16.07959","58.56663, 16.07184",0.5,r1_p25,r1_p26,1.6 ,18.4 ,34.25229263305664,
8kzwp,"57.785445, 14.235369","57.7847, 14.23397",0.2,r1_p18,r1_p19,5.6 ,2.3 ,113.1731109619141,
8n25p3,"58.041065, 12.800564","58.041217, 12.796461",0.8,r3_p13,r3_p14,2.4 ,1.2 ,103.5200881958008,
8ngk5q,"59.216318, 15.136228","59.211366, 15.1305346",1.3,r3_p40,r3_p41,32.7 ,19.6 ,49.47317504882812,
8nrnz8,"59.426934, 15.828759","59.423927, 15.819223",0.9,r3_p43,r3_p44,37.5 ,17.0 ,13.71465682983398,
8nxg9g,"59.324939, 18.002944","59.32996, 18.009916",2.1,r1_p37,r1_p38,5.9 ,7.9 ,20.3282642364502,
8p8z9y,"59.339498, 18.032754","59.344519, 18.017781 ",2.1,r1_p37,r1_p38,8.0 ,4.9 ,30.66715240478516,
8pey7q,"59.340251, 18.065444","59.34876, 18.03569",3.0,r1_p37,r1_p38,9.3 ,4.1 ,34.20582962036133,
8ppxjm,"57.679825, 12.310765","57.68357, 12.30302",0.7,r1_p2,r1_p3,16.7 ,3.2 ,131.3933868408203,
95rz7,"59.272522, 17.909685","59.26957, 17.91111",2.0,r1_p33,r1_p34,1.0 ,0.5 ,34.69878387451172,
96j956,"58.773568, 17.022961","58.77116, 17.02257",1.0,r1_p28,r1_p29,3.8 ,6.4 ,32.54347991943359,
96jknd,"59.88575, 17.66724","59.830110, 17.736933 ",8.9,r1_p44,r1_p45,36.1 ,2.5 ,24.35956382751465,
96jkx9,"57.657663, 12.115388","57.67279, 12.08643",3.1,r1_p2,r1_p3,3.3 ,16.5 ,51.47673797607422,
998ngz,"58.226866, 14.669616","58.22665, 14.66361",0.6,r1_p22,r1_p23,6.9 ,26.0 ,139.9837188720703,
99g9re,"59.595324, 16.500608","59.609703, 16.470216",2.6,r3_p46,r3_p47,2.6 ,3.3 ,17.22439956665039,
99m7gj,"57.72092, 12.97436","57.71926, 12.96782",0.5,r1_p5,r1_p6,2.6 ,1.1 ,168.876220703125,
99w3kx,"57.723625, 12.987397","57.72400, 12.98843",0.6,r1_p6,r1_p7,0.6 ,2.6 ,188.3897247314453,
9ddxq,"57.814044, 13.418968","57.80916, 13.42126",0.7,r1_p8,r1_p9,3.2 ,7.3 ,177.8041687011719,
9kqwmg,"57.780294, 14.226728","57.77726, 14.21751",0.9,r1_p18,r1_p19,4.3 ,2.8 ,120.575927734375,
9wqm9,"58.418668, 13.878876","58.39489011798868, 13.873343444113067 ",4.1,r2_p17,r2_p18,0.092 ,1.7 ,131.0,
d89pk,"58.918640, 17.368941 ","58.903311, 17.311496",4.2,r1_p29,r1_p30,22.4 ,30.0 ,52.63621139526367,
d89zg,"58.985438, 14.618477","58.981656, 14.623559",0.7,r3_p36,r3_p37,0.3 ,1.0 ,99.22967529296876,
d9m9ng,"58.9828, 14.6249","58.981656, 14.623559",0.2,r3_p36,r3_p37,0.3 ,1.0 ,108.7892761230469,
d9qxyd,"57.677145, 12.026917","57.67900, 12.02156",0.5,r1_p1,r1_p2,3.7 ,0.7 ,79.7488021850586,
degky,"58.432757, 15.582938","58.43864, 15.57402",1.1,r1_p24,r1_p25,5.4 ,34.1 ,39.89686965942383,
dn5y57,"58.694054, 13.817368","58.675199, 13.817232",2.6,r3_p24,r3_p25,7.5 ,9.9 ,61.99935150146484,
dn86nw,"58.324755, 15.092822","58.32502, 15.089637",0.9,r1_p23,r1_p24,2.1 ,26.1 ,125.4299087524414,
dpy8q,"59.297237, 15.204012","59.29332, 15.198374",1.0,r3_p42,r3_p43,7.3 ,2.6 ,27.02962493896484,
drrd5g,"57.936049, 12.573084","57.930159, 12.559605",1.1,r3_p9,r3_p10,0.8 ,0.032 ,65.48683166503906,
drrnky,"57.934564, 12.546738","57.926671, 12.545038",1.1,r3_p8,r3_p9,0.1 ,0.2 ,63.48996734619141,
e2zx8,"58.233323, 14.671045","58.22665, 14.66361",1.4,r1_p22,r1_p23,6.9 ,26.0 ,144.7421112060547,
e8n3z,"59.175417, 17.642519","59.17711, 17.64356",1.3,r1_p31,r1_p32,2.5 ,18.4 ,11.55387592315674,
ejdze8,"57.72288, 12.05249","57.725482, 12.032647",1.4,r3_p2,r3_p3,0.7 ,7.8 ,39.03031921386719,
g867y,"59.4263, 15.82768","59.423927, 15.819223",0.8,r3_p43,r3_p44,37.5 ,17.0 ,15.28666114807129,
ge3qzn,"59.350714, 18.058547","59.34876, 18.03569",2.5,r1_p37,r1_p38,9.3 ,4.1 ,26.7389030456543,
ge83rw,"58.43171, 15.66231","58.43239, 15.66351",2.5,r1_p24,r1_p25,10.7 ,29.9 ,37.0442008972168,
gegdyw,"58.32747, 13.13251","58.327009, 13.133757",0.9,r3_p18,r3_p19,13.1 ,23.3 ,73.53497314453125,
gexywg,"57.7727, 14.199826","57.772928, 14.195698",0.7,r1_p18,r1_p19,2.8 ,4.2 ,100.7869567871094,
geyjg6,"57.800538, 12.366844","57.800605, 12.363302",0.2,r3_p3,r3_p4,14.6 ,17.9 ,76.09819793701172,
gje9rm,"58.98278, 14.62629","58.981656, 14.623559",0.3,r3_p36,r3_p37,0.3 ,1.0 ,107.6491928100586,
gjzejn,"58.16351, 13.568705","58.16036669375202, 13.572673401688915 ",0.7,r2_p12,r2_p13,12.5 ,2.0 ,236.8940582275391,
j56yj,"58.730361, 16.410728","58.72690, 16.402507",0.9,r1_p26,r1_p27,15.0 ,13.9 ,82.33941650390625,
j5p57,"58.430799, 15.58425","58.43864, 15.57402",1.3,r1_p24,r1_p25,5.4 ,34.1 ,41.43016815185547,
j6r8m,"59.658974, 17.07694","59.654025, 17.073535",1.3,r3_p51,r3_p52,1.6 ,5.1 ,34.38718414306641,
jkpewx,"57.669439, 12.090293","57.67279, 12.08643",0.5,r1_p2,r1_p3,3.3 ,16.5 ,73.36959838867188,
jkyg7r,"59.513583, 17.92018","59.51096, 17.92409",1.0,r1_p43,r1_p44,4.6 ,2.2 ,19.37981414794922,
jq3xpk,"59.84452, 17.72904","59.830110, 17.736933 ",2.3,r1_p44,r1_p45,36.1 ,2.5 ,17.85848617553711,
