name,easting,northing,latitude,longitude,elevation,speed limit,next,previous,next chargers,dist to next[Km],gradient to next,intersection
r3_p43,6573161.0,513835.0,59.29710673484858,15.242904618113046,34.77799987792969,110.0,r3_p44,r3_p42,"pr9dx, g867y, 68kxj, kez97, 8nrnz8, 6k2qdk, w6jz7",54.5,-0.0004542641227238068,
r3_p44,6599419.0,555495.0,59.52945445227693,15.981057608196329,10.02060604095459,100.0,r3_p45,r3_p43,5wyp3,23.8,0.0005529680854443154,
r3_p45,6605625.0,576900.0,59.58178452523912,16.361602433445828,23.18124580383301,110.0,r3_p46,r3_p44,wqqg2z,4.9,0.0037095793342176303,
r3_p46,6607723.0,581135.0,59.59981754879173,16.437364828588596,41.3581428527832,100.0,r3_p47,r3_p45,"5wd6y, 2z3xx, 99g9re",5.4,0.00038146125870870895,
r3_p47,6609910.0,585487.0,59.61858133372744,16.51531682440676,43.41803359985352,80.0,r3_p48,r3_p46,"qk2rq9, mz973d, x577zg, ky526, 23d6j",4.0,-0.00607442299923549,
r3_p48,6609442.0,588753.0,59.613698552799534,16.57298761764141,19.12049102783203,100.0,r3_p49,r3_p47,x5y7kr,4.7,-0.0007785672101864073,
r3_p49,6609612.0,592765.0,59.61435212008645,16.6441343743046,15.46122550964355,110.0,r3_p50,r3_p48,0,10.5,0.0025343231808994024,
r3_p50,6610966.0,602890.0,59.62413158300112,16.824144739634928,42.07159042358398,120.0,r3_p51,r3_p49,0,13.7,-0.001240258360799061,
r3_p51,6613652.0,615714.0,59.644876478411085,17.052813834708118,25.08005523681641,110.0,r3_p52,r3_p50,"j6r8m, qxdnm, 6yp57, 28npwk",6.3,0.0023985664720427625,
r3_p52,6614267.0,620961.0,59.648487,17.147087,40.19100952148438,70.0,r3_p53,r3_p51,0,0.5,0.003785516243300615,
r3_p53,6614402.0,621430.0,59.6499808444105,17.15456820178888,42.08376312255859,80.0,r3_p54,r3_p52,0,6.1,-0.0033722406734669457,
r3_p54,6615885.0,627322.0,59.661529338769625,17.259914656517186,21.51313400268555,70.0,r3_p55,r3_p53,0,0.7,0.0021240958791208116,
r3_p55,6616245.0,627703.0,59.66464290012404,17.266889216839918,23.0,100.0,r3_p56,r3_p54,0,11.3,0.00026816292468065145,
r3_p56,6625769.0,631619.0,59.748875089186434,17.34230196477152,26.03024101257324,80.0,r3_p57,r3_p55,0,3.1,-0.0011018466102618082,
r3_p57,6627732.0,634024.0,59.7657173735314,17.386315114593888,22.61451721191406,70.0,r3_p58,r3_p56,0,0.4,-0.016516716416816162,
r3_p58,6628033.0,634215.0,59.76835613430046,17.38990551110269,16.00813102722168,80.0,r3_p59,r3_p57,0,4.3,0.001233027571024989,
r3_p59,6631163.0,637078.0,59.79550053738894,17.44288478055766,21.31014823913574,70.0,r3_p60,r3_p58,0,0.5,0.00881932819544222,
r3_p60,6631563.0,637297.0,59.79901657937208,17.447046467014577,25.71975517272949,80.0,r3_p61,r3_p59,0,3.2,0.0012623140588003989,
r3_p61,6633722.0,639583.0,59.81762132353909,17.489189771146133,29.75915908813477,70.0,r3_p62,r3_p60,0,0.5,0.0010496561070546212,
r3_p62,6634108.0,639893.0,59.82097950557984,17.494970909284984,30.28398704528809,80.0,r3_p63,r3_p61,0,4.1,-0.0006238095757869778,
r3_p63,6636842.0,642809.0,59.84450956300851,17.548792439125968,27.72636795043945,70.0,r3_p64,r3_p62,0,2.2,-0.004549305742354056,
r3_p64,6637729.0,644782.0,59.85178032355313,17.584581410230957,17.71792984008789,50.0,r3_p65,r3_p63,0,0.2,-0.004689844157217399,
r3_p65,6637753.0,644906.0,59.85195217419257,17.58680909150345,16.77996444702148,40.0,slutpunkt,r3_p64,0,3.9,0.005425943442508434,
slutpunkt,6635775.0,646523.0,59.83363943735781,17.61424801843739,37.9410400390625,0,0,0,0,0.0,0,
