name,easting,northing,latitude,longitude,elevation,speed limit,next,previous,next chargers,dist to next[Km],gradient to next,Rutt_1,Rutt_2,Rutt_3,intersection
p49,6422879.0,353645.0,57.92359773717068,12.528916494417205,70.00690460205078,40.0,p50,p48,"pg3me2, qkwmp2",0.2 ,0.0018297205644035308,,1.0,1.0,
p50,6422963.0,353836.0,57.92441417410483,12.532086202099102,70.37284851074219,60.0,p51,p49,0,0.7 ,-0.0036323300263033393,,1.0,1.0,
p51,6423173.0,354511.0,57.92651940147261,12.543342479852884,67.8302230834961,40.0,p52,p50,drrnky,0.3 ,0.0007545217594174463,,1.0,1.0,
p52,6423258.0,354742.0,57.92735748765883,12.547186895064952,68.05657958984375,60.0,p53,p51,"635xyy, drrd5g",0.8 ,-0.0037552349611699115,,1.0,1.0,
p53,6423553.0,355519.0,57.93025724198801,12.560113906619872,65.05239868164062,80.0,p54,p52,0,0.4 ,0.0011451532959420522,,1.0,1.0,
p54,6423656.0,355904.0,57.9313061549898,12.566546194695349,65.51045989990234,100.0,p55,p53,0,2.0 ,0.003375853274876773,,1.0,1.0,
p55,6424882.0,357441.0,57.94280262031486,12.591739035495506,72.26215362548828,110.0,p56,p54,0,14.8 ,0.0021735971400018944,,1.0,1.0,
p56,6433239.0,368938.0,58.02133926245299,12.78115103355256,104.4313659667969,100.0,p57,p55,8n25p3,3.8 ,0.001906418198376009,,1.0,1.0,
p57,6436309.0,370950.0,58.04948289600054,12.813502978410735,111.6757507324219,"80.0, 60.0","p58, p107",p56,0,"2.5 , 1.3 ","-0.00614635827923882, -0.003186416149287635",,1.0,1.0,1.0
p58,6438744.0,371059.0,58.07136975629161,12.81401295459217,96.30995178222656,50.0,p59,p57,0,0.7 ,-0.008170899984081078,,,1.0,
p59,6439341.0,371163.0,58.07675830951996,12.815447228006654,90.59038543701172,80.0,p60,p58,0,22.8 ,-0.0004596472784909213,,,1.0,
p60,6459075.0,380958.0,58.25663323180877,12.97134446119864,80.11042785644531,100.0,p61,p59,"wwgz3, gegdyw",35.2 ,0.001080366474855842,,,1.0,
p61,6473428.0,410196.0,58.3924355941169,13.463785301477053,118.1393203735352,80.0,p62,p60,0,6.6 ,-0.00017262429987782756,,,1.0,
p62,6479996.0,410844.0,58.45153726422024,13.472313946131822,117.0,100.0,p63,p61,0,2.0 ,0.004821307741034728,,,1.0,
p63,6481830.0,411248.0,58.46808560244976,13.478522562126022,126.642578125,110.0,p64,p62,0,10.8 ,-0.004781738419164365,,,1.0,
p64,6491172.0,415868.0,58.55287718552679,13.55424810019518,75.0,80.0,p65,p63,0,12.7 ,-0.0003149714484442396,,,1.0,
p65,6500556.0,424292.0,58.6386821234777,13.695830882648126,70.99986267089844,70.0,p66,p64,0,0.6 ,-0.0023780463697674705,,,1.0,
p66,6500941.0,424808.0,58.642228741784265,13.70458900119164,69.57303619384766,80.0,p67,p65,"dn5y57, 3ydn9k, znjnq3, re8xp3, 3qg2q",17.0 ,-8.149539723206018e-06,,,1.0,
p67,6510979.0,437587.0,58.734392374345816,13.921916925523242,69.43449401855469,70.0,p68,p66,0,0.8 ,-0.01179339090009103,,,1.0,
p68,6511408.0,438274.0,58.73834324461239,13.93366347178154,60.0,80.0,p69,p67,0,1.0 ,-0.0021648042421174166,,,1.0,
p69,6512083.0,439028.0,58.74451146562268,13.946503240086011,57.83519744873047,70.0,p70,p68,0,2.4 ,0.003234268105099338,,,1.0,
p70,6513952.0,440512.0,58.76150116567292,13.971644027468049,65.59742736816406,100.0,p71,p69,0,6.6 ,0.00016781662528460938,,,1.0,
p71,6518023.0,445143.0,58.79867099635611,14.050688813014606,66.70501708984375,70.0,p72,p70,0,0.7 ,0.01212416788033868,,,1.0,
p72,6518097.0,445805.0,58.79941924160103,14.06212514163083,75.19172668457031,100.0,p73,p71,0,9.5 ,0.00610820834177582,,,1.0,
p73,6522960.0,453576.0,58.843996117862375,14.195579248107965,133.2193450927734,80.0,p74,p72,0,2.0 ,-0.013674528952162758,,,1.0,
p74,6524672.0,454647.0,58.85948411764311,14.213786802438102,105.8711395263672,100.0,p75,p73,0,4.9 ,0.010140660534877426,,,1.0,
p75,6527156.0,458862.0,58.88221467720494,14.286389632914306,155.5595245361328,80.0,p76,p74,0,0.8 ,0.0008797265233849145,,,1.0,
p76,6527425.0,459590.0,58.884699428218845,14.29896808382332,156.2633056640625,100.0,p77,p75,0,20.3 ,-0.0020416037174145404,,,1.0,
p77,6537567.0,476391.0,58.97703175111852,14.589339674762549,114.8187789916992,80.0,p78,p76,0,1.8 ,-0.00363460917158742,,,1.0,
p78,6537943.0,478104.0,58.980499472175474,14.619097935382282,108.276496887207,50.0,p79,p77,"d89zg, d9m9ng, gje9rm",1.3 ,0.0011956731270683046,,,1.0,
p79,6538553.0,479284.0,58.98603631979967,14.63956748272934,109.8308715820312,100.0,p80,p78,0,3.6 ,0.00033869267157549446,,,1.0,
p80,6540289.0,482458.0,59.0017048,14.694693,112.540412902832,70.0,p81,p79,0,0.7 ,0.0005708175969164789,,,1.0,
p81,6540569.0,483065.0,59.00430743861969,14.705196350461453,118.2485885620117,100.0,p82,p80,0,4.3 ,-0.005679628612097854,,,1.0,
p82,6542077.0,486981.0,59.01798730062358,14.773276125458644,93.8263168334961,110.0,p83,p81,8ngk5q,35.5 ,-0.0011720339812275635,,,1.0,
p83,6566333.0,508267.0,59.23593520917542,15.144885738836956,52.21912002563477,90.0,p84,p82,"5nyw3k, 22mr3, znq78r, 397r3j, mm6r6, znj3rm, dpy8q, 62zdzm, nzgwdz, qky58r, wykxw",9.9 ,-0.0017617302191605892,,1.0,1.0,
p84,6573161.0,513835.0,59.29710673484858,15.242904618113046,34.77799987792969,110.0,p85,p83,"pr9dx, g867y, 68kxj, kez97, 8nrnz8, 6k2qdk, w6jz7",54.5 ,-0.0004542641227238068,,1.0,1.0,
p85,6599419.0,555495.0,59.52945445227693,15.981057608196329,10.02060604095459,100.0,p86,p84,5wyp3,23.8 ,0.0005529680854443154,,1.0,1.0,
p86,6605625.0,576900.0,59.58178452523912,16.361602433445828,23.18124580383301,110.0,p87,p85,wqqg2z,4.9 ,0.0037095793342176303,,1.0,1.0,
p87,6607723.0,581135.0,59.59981754879173,16.437364828588596,41.3581428527832,100.0,p88,p86,"5wd6y, 2z3xx, 99g9re",5.4 ,0.00038146125870870895,,1.0,1.0,
p88,6609910.0,585487.0,59.61858133372744,16.51531682440676,43.41803359985352,80.0,p89,p87,"qk2rq9, mz973d, x577zg, ky526, 23d6j",4.0 ,-0.00607442299923549,,1.0,1.0,
p89,6609442.0,588753.0,59.613698552799534,16.57298761764141,19.12049102783203,100.0,p90,p88,x5y7kr,4.7 ,-0.0007785672101864073,,1.0,1.0,
p90,6609612.0,592765.0,59.61435212008645,16.6441343743046,15.46122550964355,110.0,p91,p89,0,10.5 ,0.0025343231808994024,,1.0,1.0,
p91,6610966.0,602890.0,59.62413158300112,16.824144739634928,42.07159042358398,120.0,p92,p90,0,13.7 ,-0.001240258360799061,,1.0,1.0,
p92,6613652.0,615714.0,59.644876478411085,17.052813834708118,25.08005523681641,110.0,p93,p91,"j6r8m, qxdnm, 6yp57, 28npwk",6.3 ,0.0020507863205517685,,1.0,1.0,
p93,6614267.0,620961.0,59.648487,17.147087,38.0,70.0,p94,p92,0,0.5 ,0.00044388731050724027,,1.0,1.0,
p94,6614402.0,621430.0,59.6499808444105,17.15456820178888,42.08376312255859,80.0,p95,p93,0,6.1 ,-0.0033722406734669457,,1.0,1.0,
p95,6615885.0,627322.0,59.661529338769625,17.259914656517186,21.51313400268555,70.0,p96,p94,0,0.7 ,0.0021240958791208116,,1.0,1.0,
p96,6616245.0,627703.0,59.66464290012404,17.266889216839918,23.0,100.0,p97,p95,0,11.3 ,0.00026816292468065145,,1.0,1.0,
p97,6625769.0,631619.0,59.748875089186434,17.34230196477152,26.03024101257324,80.0,p98,p96,0,3.1 ,-0.0011018466102618082,,1.0,1.0,
p98,6627732.0,634024.0,59.7657173735314,17.386315114593888,22.61451721191406,70.0,p99,p97,0,0.4 ,-0.016516716416816162,,1.0,1.0,
p99,6628033.0,634215.0,59.76835613430046,17.38990551110269,16.00813102722168,80.0,p100,p98,0,4.3 ,0.001233027571024989,,1.0,1.0,
p100,6631163.0,637078.0,59.79550053738894,17.44288478055766,21.31014823913574,70.0,p101,p99,0,0.5 ,0.00881932819544222,,1.0,1.0,
p101,6631563.0,637297.0,59.79901657937208,17.447046467014577,25.71975517272949,80.0,p102,p100,0,3.2 ,0.0012623140588003989,,1.0,1.0,
p102,6633722.0,639583.0,59.81762132353909,17.489189771146133,29.75915908813477,70.0,p103,p101,0,0.5 ,0.0010496561070546212,,1.0,1.0,
p103,6634108.0,639893.0,59.82097950557984,17.494970909284984,30.28398704528809,80.0,p104,p102,0,4.1 ,-0.0006238095757869778,,1.0,1.0,
p104,6636842.0,642809.0,59.84450956300851,17.548792439125968,27.72636795043945,70.0,p105,p103,0,2.2 ,-0.004549305742354056,,1.0,1.0,
p105,6637729.0,644782.0,59.85178032355313,17.584581410230957,17.71792984008789,50.0,p106,p104,0,0.2 ,-0.004689844157217399,,1.0,1.0,
p106,6637753.0,644906.0,59.85195217419257,17.58680909150345,16.77996444702148,40.0,slutpunkt,,0,3.9 ,0.005425943442508434,,1.0,1.0,
p107,6436084.0,372090.0,58.04779341039158,12.83292440841498,107.5334167480469,80.0,p108,p57,0,4.2 ,0.0013779199510082713,,1.0,,
p108,6436609.0,375881.0,58.05358210862684,12.896824925696396,113.3206787109375,70.0,p109,p107,0,2.1 ,-0.007320262346550191,,1.0,,
p109,6437272.0,377681.0,58.06003308387999,12.92695773607156,97.9482650756836,50.0,p110,p108,0,0.9 ,0.0025365136113300597,,1.0,,
p110,6437520.0,378473.0,58.06247683569785,12.940242257100598,100.2311248779297,70.0,p111,p109,0,3.9 ,0.001358680164993381,,1.0,,
p111,6438783.0,382055.0,58.07478102178349,13.0002765419374,105.5299758911133,50.0,p112,p110,kpj9jz,3.0 ,0.007565860449975138,,1.0,,
p112,6438338.0,384464.0,58.07142068241952,13.041311622578954,128.2273406982422,70.0,p113,p111,0,1.9 ,-0.0029880005977891756,,1.0,,
p113,6436703.0,384659.0,58.05679448795754,13.045417491003304,122.5501480102539,90.0,p114,p112,0,16.5 ,0.0026956343496318557,,1.0,,
p114,6443411.0,398866.0,58.12048432072535,13.28314771266322,167.0280609130859,80.0,p115,p113,0,2.5 ,0.002264119366042031,,1.0,,
p115,6444164.0,401153.0,58.12776146908149,13.321634608273367,172.6883544921875,50.0,p116,p114,0,1.0 ,0.0024352593650532437,,1.0,,
p116,6444145.0,402181.0,58.12781935255625,13.339088937799383,175.1236114501953,80.0,p117,p115,0,3.7 ,0.0032361020046319812,,1.0,,
p117,6445853.0,405354.0,58.14384446052632,13.392248917145574,187.09716796875,60.0,p118,p116,0,0.4 ,-0.0003664016805615305,,1.0,,
p118,6446252.0,405513.0,58.147460815541,13.394787371860076,186.9506072998047,80.0,p119,p117,gjzejn,14.6 ,0.00334320586631725,,1.0,,
p119,6449157.0,416972.0,58.17584568199008,13.58835574876983,235.7613220214844,60.0,p120,p118,0,0.7 ,-0.013809032618464613,,1.0,,
p120,6449826.0,416975.0,58.18185324612761,13.588168621228183,226.0953063964844,80.0,p121,p119,0,18.9 ,-0.0021453018093542933,,1.0,,
p121,6462979.0,430066.0,58.30223185331732,13.80675899539732,185.5491333007812,100.0,p122,p120,0,9.6 ,-0.0051933204127211086,,1.0,,
p122,6470856.0,433100.0,58.37343800519261,13.856230755814996,135.6934814453125,80.0,p123,p121,r3q8w2,2.8 ,-0.004707511850154522,,1.0,,
